rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	deep_batch
616	PL-BZP:08def791-abac-9d3c-962b-1200010720d3	Pełnienie nadzoru inwestorskiego nad zadaniem „Rozbudowa węzła komunikacyjnego wraz z drogami dojazdowymi w rejonie Owintaru – etap I wraz z przebudową ul. Narutowicza”	Zarząd Dróg i Komunikacji w Tarnowie	2026-08-20T07:00:00+00:00			LOW			batch-061.json
617	PL-BZP:08def79d-6560-c604-962b-120001dacfed	Dostawa sprzętu i innych rozwiązań cyberbezpieczeństwa -cyberbezpieczne wodociągi	Gmina Kotuń	2026-08-19T08:00:00+00:00			LOW			batch-061.json
618	PL-BZP:08defc55-36e8-34e7-962b-12000115befc	„Dostawa artykułów spożywczych dla ZSCKR w Wojsławicach”	ZESPÓŁ SZKÓŁ CENTRUM KSZTAŁCENIA ROLNICZEGO W WOJSŁAWICACH	2026-08-25T10:00:00+00:00			LOW			batch-061.json
619	PL-BZP:08defc79-2d07-1ffb-962b-12000115c168	„Sukcesywna dostawa artykułów żywnościowych dla Zespołu Szkolno-Przedszkolnego w Staroźrebach na rok szkolny 2026/2027”	MIASTO I GMINA STAROŹREBY	2026-08-25T08:00:00+00:00			LOW			batch-061.json
620	PL-BZP:08defc48-5486-228c-962b-12000115bd18	„ZAKUP SPRZĘTU SPECJALNEGO” DLA KOMENDY MIEJSKIEJ PAŃSTWOWEJ STRAŻY POŻARNEJ W ZAMOŚCIU	Komenda Miejska Państwowej Straży Pożarnej w Zamościu	2026-08-25T08:00:00+00:00			LOW			batch-061.json
621	ZA_ETENDERS_OCDS:ocds-9t57fa-165745-2026-08-17	Worcester office space -	Land and Agricultural Development Bank of South Africa	2026-08-21T14:00:00+00:00		ZAR	LOW		............................................. 7 E. CONDITIONS TO BID .......................................................................	batch-062.json
622	US-SAM:de0934149eb8411dbf8257b6eab37d31	Janitorial Services for Englebright Lake	DEPT OF DEFENSE	2026-08-25T17:00:00+00:00			LOW		===== FILE: files/Contractor_Questions__W9123826QA023_Final.pdf ===== 1. CLIN & Pricing Structure ID Clarification / Question Requested Answ	batch-062.json
623	US-SAM:54d474f3c579457d97f7c9535197d0d7	EAGLE Ft. Benning, GA W519TC-26-R-A041	DEPT OF DEFENSE	2026-08-26T17:00:00+00:00			LOW		2027 | RFP Section C.5 includes the requirement for identification of proposed fee rates in two buckets: (1) # % for all work self- performe	batch-062.json
624	US-SAM:7da8feb9baf545b09a20955441b920c0	J--Electrical Inspection and Repair Services at Bosto	INTERIOR, DEPARTMENT OF THE	2026-08-21T17:00:00+00:00			LOW		===== FILE: files/B03-WD-2015-4047_Rev34-6_25_26.pdf ===== ===== FILE: files/B08-SOW_Electrical_NPS_Boston_BaseYear_Plus_2_Options.docx ====	batch-062.json
625	US-SAM:3ac4560c474a48d78f018e4bd81d834b	V231--Lodging Orlando VA Healthcare System (OVAHCS)	VETERANS AFFAIRS, DEPARTMENT OF	2026-08-25T15:00:00+00:00			LOW		unless the Contracting Officer specifies otherwise. The quantities are estimated quantities only and shall be considered nonbinding. The gua	batch-062.json
626	US-SAM:4e8343ed33334a0aab2f14d56db87c94	G4 44K FORKLIFT	DEPT OF DEFENSE	2026-08-24T11:00:00+00:00			LOW	training-course	NSWERS_44K_FORKLIFT_V2.docx ===== Please confirm the quotation due date, exact submission time, and applicable time zone. The solicitation d	batch-062.json
627	US-SAM:b42d8680e57f4985bdcb1f357dd543c2	***RFI*** 56 SFS Custom, Mobile Marksmanship Training Simulator	DEPT OF DEFENSE	2026-08-24T17:00:00+00:00			LOW		in the attached draft Salient Characteristics for 56 SFS Mobile Marksmanship Training Simulator. Request interested firms respond to the fol	batch-062.json
628	US-SAM:fe6ffe50d36a492c8ad534adee7992fd	AuDBase Software Implementation and PATH EHR Interface	HEALTH AND HUMAN SERVICES, DEPARTMENT OF	2026-08-24T19:00:00+00:00			LOW		al, or sensitive information should be included in your response. The Government reserves the right to use any non-proprietary technical inf	batch-062.json
629	US-SAM:4878fa717c3f42cab111fac988161f92	Trailer Mounted 1000kW load bank	DEPT OF DEFENSE	2026-08-28T21:00:00+00:00			LOW		===== FILE: files/Product_Specifications.pdf ===== Page 1 of 1 Product Specifications Trailer Mounted 1000kW Load Bank Description of Requir	batch-062.json
630	UK_PCS_OCDS:rls-69-JUL560440	Pitt Lane Demolitions, Lerwick, Shetland	Shetland Islands Council	2026-08-19T12:00:00+00:00			LOW			batch-062.json
631	TED:556406-2026	Latvia – Works for complete or part construction and civil engineering work – Būvprojekta izstrāde, autoruzraudzība un būvdarbi VSAC “Kurzeme” un VSAC “Zemgale” filiālēs	Valsts sabiedrība ar ierobežotu atbildību "Šampētera nams"	2026-08-26T10:00:00+02:00			LOW			batch-063.json
632	TED:551781-2026	Romania – Construction supervision services – Servicii de supervizare pentru execuția lucrărilor din cadrul obiectivului “CONSTRUIRE SPITAL CLINIC DE PNEUMOFTIZIOLOGIE ȘI BOLI INFECȚIOASE, B	MUNICIPIUL BRASOV	2026-09-15T15:00:00+03:00	4131666.16	RON	LOW			batch-063.json
633	TED:567473-2026	Germany – Erection of fencing – Stabmattenzaun	Stadt Erlangen - Zentrale Vergabestelle	2026-09-11T10:00:00+02:00			LOW			batch-063.json
634	TED:567996-2026	Germany – Furniture – Lose Möblierung	Landratsamt Eichstätt	2026-09-07T09:00:00+02:00			LOW			batch-063.json
635	UK_PCS_OCDS:rls-16-JUL561257	Repairs and Maintenance to Piers and Pontoons around Loch Lomond plus 5 year contract	Loch Lomond & The Trossachs National Park Authority	2026-09-21T10:00:00+00:00	200000.0	GBP	LOW			batch-063.json
636	UK_PCS_OCDS:rls-11-JUL561303	Kisimul Castle - Great Hall Roof Repairs	Historic Environment Scotland	2026-08-21T17:00:00+00:00			LOW			batch-063.json
637	GR-KHMDHS:26PROC019634339	ΔΙΑΚΗΡΥΞΗ ΑΡΙΘΜ. 31/2026 Α/Α ΕΣΗΔΗΣ 510092 Ανοικτός Διαγωνισμός κάτω των ορίων για την προμήθεια «	ΝΟΜ.ΓΕΝ. ΝΟΣΟΚΟΜΕΙΟ ΚΑΡΔΙΤΣΑΣ	2026-09-02T15:00:00+00:00	41119.46	EUR	LOW			batch-063.json
638	TED:568584-2026	Germany – Engineering services – 26DE Fachplanung TGA	Staatliches Bauamt Bayreuth	2026-09-08T10:00:00+02:00			LOW			batch-063.json
639	PL-BZP:08def6b8-93b9-1a29-962b-1200012683ad	Przebudowa ulicy Żeromskiego	Miasto Wodzisław Śląski	2026-08-27T06:00:00+00:00			LOW			batch-063.json
640	WORLD-BANK:OP00004471	Water Services and Institutional Support Project					LOW			batch-063.json
641	WORLD-BANK:OP00006272	Vietnam New Model University Project					LOW			batch-064.json
642	PL-BZP:08defd00-9a4d-3899-962b-12000115c637	Wykonanie nawierzchni bezpiecznej wraz z elementami 2D, 3D oraz montażem trzech kompletów żagli zacieniających w ramach kontynuacji zadania: „Przebudowa placu zabaw dla młodszych dzieci wraz	Gmina Błonie	2026-09-03T09:00:00+00:00			LOW			batch-064.json
643	PL-BZP:08defc79-5d9d-b04b-962b-12000115c16c	Zorganizowanie 3 wizyt studyjnych (zagranicznych) po jednej do Słowenii, Niemiec i Litwy	Województwo Kujawsko- Pomorskie - Gostynińsko-Włocławski Park Krajobrazowy w Kowalu	2026-08-25T09:00:00+00:00			LOW			batch-064.json
644	PL-BZP:08defc25-51a5-9506-962b-1200014af371	"Wzgórze Muz - zagospodarowanie góry zdrojowej w sąsiedztwie Międzynarodowego Domu Kultury w Międzyzdrojach", - zadanie nr 2 .	GMINA MIĘDZYZDROJE	2026-09-01T07:00:00+00:00			LOW			batch-064.json
645	PL-BZP:08def780-e56c-0263-962b-1200011b95d3	Budowa oświetlenia ulicznego w ramach zadania pn: „Oświetlenie drogowe oraz przejść dla pieszych na terenie Gminy Brzeg Dolny”	Gmina Brzeg Dolny	2026-08-26T08:00:00+00:00			LOW			batch-064.json
646	PL-BZP:08def9f0-b7e5-ba1d-962b-120001872ba1	Opracowanie dokumentacji projektowo-kosztorysowej na przebudowę Oddziału Kardiologicznego w ramach projektu pn. „Przebudowa Oddziału Kardiologicznego (...)- powtórka postępowania MSS-DN-ZPP-	MAZOWIECKI SZPITAL SPECJALISTYCZNY IM.DR.JÓZEFA PSARSKIEGO W OSTROŁĘCE	2026-09-02T09:00:00+00:00			LOW			batch-064.json
647	GR-KHMDHS:26PROC019638236	ΔΙΑΚΗΡΥΞΗ 10734 17/8/2026 I SUPPLIES: 926 -2026	ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΑΓΡΙΝΙΟΥ	2026-09-02T13:00:00+00:00	12300.0	EUR	LOW			batch-064.json
648	PL-BZP:08def2ee-85d8-b73e-962b-12000183ca22	Rozbudowa i adaptacja Zespołu Szkół w Komorowie	GMINA TOMASZÓW MAZOWIECKI	2026-08-20T07:00:00+00:00			LOW			batch-064.json
649	PL-BZP:08def6c8-8f85-be01-962b-1200012685f8	Przebudowa publicznej drogi gminnej nr 000548F w m. Klenica – ul. Stawna – ODCINEK I, wraz z remontem nawierzchni jezdni obiektu mostowego w obrębie dz. ew. nr 929/1e	GMINA BOJADŁA	2026-08-25T07:30:00+00:00			LOW			batch-064.json
650	SK-UVO:556754	Kontrastné látky	Inštitút nukleárnej a molekulárnej medicíny			EUR	LOW			batch-064.json
651	SK-UVO:516420	Lesnícke služby v ťažbovom procese pre Správu NP Slovenský raj	Správa Národného parku Slovenský raj so sídlom v Spišskej Novej Vsi			EUR	LOW			batch-065.json
652	PL-BZP:08defcef-282e-b97d-962b-12000115c3f8	Przebudowa drogi wraz z budową kanalizacji deszczowej ul. Lipowej w miejscowości Jeldzino	Gmina Krokowa	2026-09-01T10:15:00+00:00			LOW			batch-065.json
653	PL-BZP:08defd00-71b6-9460-962b-12000115c633	Wykonanie dokumentacji projektowo-kosztorysowej pracowni kardiologicznych w Wojewódzkim Szpitalu w Tarnobrzegu	WOJEWÓDZKI SZPITAL IM.ZOFII Z ZAMOYSKICH TARNOWSKIEJ W TARNOBRZEGU	2026-09-01T08:00:00+00:00			LOW			batch-065.json
654	PL-BZP:08defd08-86e1-c878-962b-12000115c74b	Remont dróg gminnych będących w zarządzie Gminy Kępno	Gmina Kępno	2026-09-03T07:45:00+00:00			LOW			batch-065.json
655	PL-BZP:08defcff-1f3f-312a-962b-12000115c5f8	Modernizacja systemu oświetlenia ulicznego w Milanówku	Gmina Milanówek	2026-08-27T08:00:00+00:00			LOW			batch-065.json
656	PL-BZP:08defd05-f298-ca57-962b-12000115c6f1	„Naprawa ogrodzeń zlokalizowanych na terenach żłobków Miejskiego Zespołu Żłobków w Łodzi, z podziałem na 2 części.”	Miejski Zespół Żłobków w Łodzi	2026-09-02T09:00:00+00:00			LOW			batch-065.json
657	PL-BZP:08defcfd-089e-68d5-962b-12000115c5a8	Dostawy leków i wyrobów medycznych w podziale na 11 pakietów	SAMODZIELNY PUBLICZNY SPECJALISTYCZNY SZPITAL ZACHODNI IM. ŚW. JANA PAWŁA II	2026-08-26T08:00:00+00:00			LOW			batch-065.json
658	PL-BZP:08defcf9-ca56-956e-962b-12000115c521	Sukcesywna dostawa drobnego sprzętu laboratoryjnego	Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kościanie	2026-08-31T08:00:00+00:00			LOW			batch-065.json
659	PL-BZP:08defd05-87f7-b293-962b-12000115c6e6	Wykonanie łącznika drogowego od ul. Murowianka do ul. Krasińskiego	GMINA MIASTA BOCHNIA	2026-09-02T08:00:00+00:00			LOW			batch-065.json
660	PL-BZP:08defd02-1b0d-1289-962b-12000115c66a	Zakup i dostawa sprzętu medycznego dla Ośrodka Zdrowia w Zembrzycach	SAMODZIELNY GMINNY ZAKŁAD OPIEKI ZDROWOTNEJ W ZEMBRZYCACH	2026-08-27T06:00:00+00:00			LOW			batch-065.json
661	PL-BZP:08defcf9-dad8-411f-962b-12000115c52a	Modernizacja parkomatów w Strefie Płatnego Parkowania w Olsztynie	ZARZĄD DRÓG ZIELENI I TRANSPORTU W OLSZTYNIE	2026-08-26T08:00:00+00:00			LOW			batch-066.json
662	PL-BZP:08defd02-96c9-c6da-962b-12000115c672	„Utwardzenie terenu przy MGOK na działce nr ewid. 1470 w msc. Daleszyce”	Gmina Daleszyce	2026-09-02T08:00:00+00:00			LOW			batch-066.json
663	PL-BZP:08defcf4-9918-be38-962b-12000115c484	Wykonanie usługi polegającej na naprawie tomografu komputerowego AQUILION ONE Genesis TSX – 305A.	WOJSKOWY INSTYTUT MEDYCYNY LOTNICZEJ	2026-08-26T08:00:00+00:00			LOW			batch-066.json
664	PL-BZP:08defcfd-90de-5739-962b-12000115c5bc	Budowa Centrum Przesiadkowego w Ostrołęce	Miasto Ostrołęka	2026-09-02T08:00:00+00:00			LOW			batch-066.json
665	PL-BZP:08defcf7-9e65-a664-962b-12000115c4dc	Dostawa różnych produktów spożywczych dla Zespołu Szkół im. Janusza Korczaka w Szydłowie	ZESPÓŁ SZKÓŁ IM. JANUSZA KORCZAKA W SZYDŁOWIE	2026-08-26T14:00:00+00:00			LOW			batch-066.json
666	PL-BZP:08defcf8-8f15-90e9-962b-12000115c4fa	Modernizacja dróg powiatowych nr: 5680 P Mroczeń -Łęka Mroczeńska , 5689 P Trzcinica - Dzierżążnik, 5695 P Łęka Opatowska ul. Lipowa poprzez wykonanie nakładki bitumicznej	Powiatowy Zarząd Dróg	2026-09-02T08:00:00+00:00			LOW			batch-066.json
667	PL-BZP:08defd08-4dbb-9556-962b-12000115c748	Sukcesywna dostawa lekkiego oleju opałowego do celów grzewczych dla ITP-PIB Stacja Badawcza w Jaworkach	INSTYTUT TECHNOLOGICZNO-PRZYRODNICZY - PAŃSTWOWY INSTYTUT BADAWCZY	2026-08-26T10:00:00+00:00			LOW			batch-066.json
668	PL-BZP:08defcf6-c275-672e-962b-12000115c4c7	Świadczenie usług całodobowego podejmowania interwencji w zakresie usuwania zagrożeń dla życia i zdrowia ludności, powodowanych przez dziki na terenie Gdańska z wyłączeniem obwodów łowieckic	Gmina Miasta Gdańska	2026-08-26T07:00:00+00:00			LOW			batch-066.json
669	PL-BZP:08defcff-1f40-f7c6-962b-12000115c5f9	Dostawa ambulansu do Samodzielnego Publicznego Zakładu Opieki Zdrowotnej w Mońkach	Powiat Moniecki	2026-08-26T08:00:00+00:00			LOW			batch-066.json
670	PL-BZP:08defd07-a28a-65bd-962b-12000115c731	Dostawa paliw płynnych dla Zakładu Gospodarki Komunalnej w Kałuszynie	ZAKŁAD GOSPODARKI KOMUNALNEJ W KAŁUSZYNIE	2026-08-28T08:00:00+00:00			LOW			batch-066.json
671	PL-BZP:08defcf0-1205-d621-962b-12000115c406	Sukcesywna dostawa paliw - bezgotówkowe tankowanie pojazdów Zamawiającego	Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kościanie	2026-08-28T08:00:00+00:00			LOW			batch-067.json
672	PL-BZP:08defc47-ad13-7fd8-962b-12000115bcfd	Wykonanie pomiarów hałasu oraz strategicznych map hałasu dla dróg wojewódzkich województwa dolnośląskiego.	Dolnośląska Służba Dróg i Kolei we Wrocławiu	2026-08-26T07:00:00+00:00			LOW			batch-067.json
673	PL-BZP:08defcfd-9103-608a-962b-12000115c5bd	ŚWIADCZENIE USŁUGI SPRZĄTANIA I UTRZYMANIA CZYSTOŚCI W BUDYNKACH, NA TERENIE POSESJI WOJEWÓDZKIEJ I MIESJKIEJ BIBLIOTEKI PUBLICZNEJ IM. ZBIGNIEWA HERBERTA, WRAZ Z USŁUGĄ PIELĘGNACJI ZIELENI	Wojewódzka i Miejska Biblioteka Publiczna im. Zbigniewa Herberta	2026-08-26T09:00:00+00:00			LOW			batch-067.json
674	PL-BZP:08defcfa-bb83-2efb-962b-12000115c554	Dostawy artykułów spożywczych: wędlin, tłuszczy zwierzęcych do Zakładu Karnego w Herbach	ZAKŁAD KARNY W HERBACH	2026-08-25T08:00:00+00:00			LOW			batch-067.json
675	PL-BZP:08defcf8-7474-2e1d-962b-12000115c4f5	Dostawa oleju opałowego lekkiego w ilości 30.000 litrów do Szkoły Podstawowej w Drawsku w sezonie grzewczym 2026/2027	Gmina Drawsko	2026-08-28T07:00:00+00:00			LOW			batch-067.json
676	PL-BZP:08defcf7-3f96-8a87-962b-12000115c4d4	2026-Opracowanie dokumentacji projektowej oraz wykonanie instalacji klimatyzacji w formule "zaprojektuj i wybuduj" w lokalizacjach Ośrodka Pomocy Społecznej w Gliwicach	OŚRODEK POMOCY SPOŁECZNEJ W GLIWICACH	2026-09-02T07:00:00+00:00			LOW			batch-067.json
677	PL-BZP:08defd04-d126-1a95-962b-12000115c6c7	Naprawy i przeglądy samochodów służbowych Zarządu Oczyszczania Miasta	Zarząd Oczyszczania Miasta	2026-08-28T06:00:00+00:00			LOW			batch-067.json
678	PL-BZP:08defd04-af79-d417-962b-12000115c6c1	„Usługa polegająca na zapewnieniu cateringu dla Uczestników projektu „Kompleksowe wsparcie rodzin w gminie Małogoszcz”	Miejsko-Gminny Ośrodek Pomocy Społecznej w Małogoszczu	2026-08-26T08:00:00+00:00			LOW			batch-067.json
679	PL-BZP:08defcfa-4a9b-21f1-962b-12000115c53e	Dostawa i montaż 1 szt. fabrycznie nowej hali namiotowej dla jednostki administrowanej przez 35 WOG Rząska ul. Krakowska 1 w obozowisku kontenerowym w m. Wojnarowa	35 Wojskowy Oddział Gospodarczy	2026-08-28T06:00:00+00:00			LOW			batch-067.json
680	PL-BZP:08defd01-907a-db28-962b-12000115c655	Dostawa pomocy sportowych do Szkoły Podstawowej nr 3 im. Kawalerów Orderu Uśmiechu w Olsztynie z siedzibą 10-445 Olsztyn, ul Kołobrzeska 13 m w ramach projektu „Rozwiń skrzydła z Trójką”	SZKOŁA PODSTAWOWA NR 3 IM. KAWALERÓW ORDERU UŚMIECHU W OLSZTYNIE	2026-08-26T08:00:00+00:00			LOW			batch-067.json
681	PL-BZP:08defd00-4ec8-39d0-962b-12000115c62e	Oprac. dok. projektowej oraz budowa przejścia dla pieszych w ramach zadania: „Budowa przejścia dla pieszych wraz z dedykowanym oświetleniem na ul. Dąbrowskiego 18" w trybie zaprojektuj i zbu	Zarząd Dróg Miasta Krakowa	2026-09-02T06:00:00+00:00			LOW			batch-068.json
682	PL-BZP:08defcff-2e4d-9275-962b-12000115c5fd	Zakup autobusu miejskiego dla Gminnego Zakładu Komunalnego w Dąbrówce Wielkiej	GMINNY ZAKŁAD KOMUNALNY Z SIEDZIBĄ W DĄBRÓWCE WIELKIEJ K/ZGIERZA	2026-08-26T08:00:00+00:00			LOW			batch-068.json
683	PL-BZP:08defd08-0e33-e071-962b-12000115c73e	„Rozbudowa sieci dróg rowerowych na terenie Gminy i Miasta Sianów” - II postępowanie.	Gmina Sianów	2026-09-02T09:00:00+00:00			LOW			batch-068.json
684	PL-BZP:08defcfe-d604-bf0f-962b-12000115c5e6	Dostawa mebli wraz z montażem na potrzeby Podlaskiego Urzędu Wojewódzkiego w Białymstoku	Podlaski Urząd Wojewódzki w Białymstoku	2026-08-26T08:00:00+00:00			LOW			batch-068.json
685	PL-BZP:08defcf9-1890-cdf0-962b-12000115c506	Wykonanie badania ewaluacyjnego pt: Ocena realizacji pierwszych konkursów FERS w ramach Priorytetu I „Umiejętności” oraz Priorytetu III „Dostępność i usługi dla osób z niepełnosprawnościami”	Narodowe Centrum Badań i Rozwoju	2026-08-31T09:00:00+00:00			LOW			batch-068.json
686	US-SAM:39e2933511484af0b8f1aacb45582dff	Upgrade an Instru-Met electromechanical frame	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	2026-08-19T12:00:00+00:00			LOW			batch-068.json
687	PL-BZP:08defc4c-a64f-9386-962b-12000115bdc8	Przebudowa nawierzchni dróg transportu rolnego	GMINA STARY DZIKÓW	2026-09-03T07:00:00+00:00			LOW			batch-068.json
688	PL-BZP:08defc41-aa08-4e87-962b-1200012337b6	Adaptacja obiektów oraz doposażenie pracowni w kształceniu zawodowym elektryczno-elektronicznym oraz informatycznym, w tym naprawa elektrycznych pojazdów samochodowych w ZS Nr 2 CKU w Pyrzyc	Powiat Pyrzycki	2026-09-03T07:00:00+00:00			LOW			batch-068.json
689	PL-BZP:08defc65-962e-f20a-962b-12000115c0cf	Roboty budowane na potrzeby Katolickiego Uniwersytetu Lubelskiego Jana Pawła II w Lublinie z podziałem na dwie części	KATOLICKI UNIWERSYTET LUBELSKI JANA PAWŁA II	2026-09-02T09:00:00+00:00			LOW			batch-068.json
690	TED:568968-2026	Latvia – Health insurance services – Darbinieku veselības apdrošināšana	Akciju sabiedrība "RĪGAS SILTUMS"	2026-08-31T10:00:00+02:00			LOW			batch-068.json
691	PL-BZP:08defc43-b356-8d8e-962b-12000115bc7d	Dostawa oleju opałowego do obiektów Gminy Sypniewo w sezonie grzewczym 2026/2027	Gmina Sypniewo	2026-08-27T08:00:00+00:00			LOW			batch-069.json
692	PL-BZP:08defc4d-d638-6d50-962b-12000115bdf0	„Remont drogi gminnej w miejscowości Borówek”- II	Gmina Bielawy	2026-09-01T07:00:00+00:00			LOW			batch-069.json
693	PL-BZP:08defc20-70e2-9f97-962b-120001d7d0d2	Budowa placu zabaw w ramach projektu pn. „Solankowa strefa relaksu w sercu szkoły"	SZKOŁA PODSTAWOWA NR 3 IM.MIKOŁAJA KOPERNIKA	2026-09-01T07:00:00+00:00			LOW			batch-069.json
694	PL-BZP:08defc5f-10bd-5b40-962b-12000115c052	Budowa boiska do siatkówki plażowej oraz obiektów małej architektury w ramach realizacji projektu „Razem dla Rewitalizacji – Edukacja i Integracja w Cmolasie”	Gmina Cmolas	2026-09-01T06:00:00+00:00			LOW			batch-069.json
695	WORLD-BANK:OP00024555	Uttarakhand Decentralized Watershed Development II Project					LOW			batch-069.json
696	WORLD-BANK:OP00020640	India: Karnataka Health Systems Additional Financing					LOW			batch-069.json
697	WORLD-BANK:OP00019382	China: Nanchang Urban Rail Project					LOW			batch-069.json
698	WORLD-BANK:OP00017737	Ghana - West Africa Regional Fisheries Program					LOW			batch-069.json
699	WORLD-BANK:OP00025099	Enhanced Road Access Project					LOW			batch-069.json
700	WORLD-BANK:OP00023968	Climate Resilience: Transforming Hydro-Meteorological Services					LOW			batch-069.json
701	WORLD-BANK:OP00018506	Local Government Project (SLGP)					LOW			batch-070.json
702	WORLD-BANK:OP00000577	Integrated Health and Water Management Project (SWAP)					LOW			batch-070.json
703	PL-BZP:08def3af-d4e3-b576-962b-12000158cc55	Ścinka i profilowanie poboczy oraz odmulenie i profilowanie rowów przydrożnych w ciągach dróg woj, admin. przez ZDW w Łodzi w 2026 roku z podziałem na części i prawem opcji	ZARZĄD DRÓG WOJEWÓDZKICH W ŁODZI	2026-08-25T08:00:00+00:00			LOW			batch-070.json
704	PL-BZP:08def6ac-58db-6d86-962b-120001268215	Usługa cateringowa podczas X Kongresu Młodych Matematyków	Uniwersytet Śląski w Katowicach	2026-08-18T09:00:00+00:00			LOW			batch-070.json
705	PL-BZP:08def6d0-f9ce-79a2-962b-120001b3f481	Świadczenie usług polegających na przygotowaniu i dostarczaniu posiłków na potrzeby Zespołu Szkół Ogólnokształcących nr 7 w Gdańsku w okresie wrzesień - grudzień 2026 r.	ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 7 W GDAŃSKU	2026-08-18T08:00:00+00:00			LOW			batch-070.json
706	PL-BZP:08def79a-ef99-519c-962b-120001dacf82	"2026 Świadczenie usługi cateringowej: śniadanie, obiad, podwieczorek dla przedszkolaków z Przedszkola w Jeżowie Sudeckim, 58-521 Jeżów Sudecki, ul. Kręta 27a"	Zespół Szkolno-Przedszkolny	2026-08-21T07:00:00+00:00			LOW			batch-070.json
707	PL-BZP:08def6cf-7af8-581b-962b-120001b3f44f	Rozbudowa, nadbudowa, przebudowa i remont budynku szkolnego w ramach projektu "ZAWODOWCY ZE STASZICA PRZYSZŁOŚCIĄ REGIONU – przebudowa i remont budynku szkoły wraz z doposażeniem pracowni za	Powiat Opoczyński reprezentowany przez Zarząd Powiatu Opoczyńskiego	2026-08-27T10:00:00+00:00			LOW			batch-070.json
708	PL-BZP:08def7ac-811e-da60-962b-120001dad22a	Dostawa kruszywa dolomitowego w ilości 1000 Mg wraz z wbudowaniem	Gmina Jastków	2026-08-27T08:00:00+00:00			LOW			batch-070.json
709	PL-BZP:08def6a9-1923-71a7-962b-1200012681b2	„Sukcesywne dostawy paliwa drzewnego – pelletu do Szkoły Podstawowej im. Wandy Rutkiewicz w Janowicach Wielkich, ul. Partyzantów 4 w okresie od lipca 2026r. do 30 czerwca 2027r.”	Szkoła Podstawowa im. Wandy Rutkiewicz w Janowicach Wielkich	2026-08-20T08:00:00+00:00			LOW			batch-070.json
710	PL-BZP:08def6e6-6907-013f-962b-120001b3f753	„Budowa i modernizacja ulic na ciechanowskim Podzamczu : ulica Bony w Ciechanowie”	GMINA MIEJSKA CIECHANÓW	2026-08-27T08:00:00+00:00			LOW			batch-070.json
711	PL-BZP:08def3b8-b369-c4b8-962b-12000158cdd2	Dostawę 10 szt. łóżek intensywnego nadzoru kardiologicznego dla Samodzielnego Publicznego Zakładu Opieki Zdrowotnej w Słupcy.	Powiat Słupecki	2026-08-20T07:00:00+00:00			LOW			batch-071.json
712	PL-BZP:08def442-b476-2d33-962b-12000158d1da	Wykonanie placu wraz z konstrukcją wsporczą pod instalację fotowoltaiczną	Zespół Szkół im. ks. Józefa Tischnera w Dobczycach	2026-08-24T07:00:00+00:00			LOW			batch-071.json
713	PL-BZP:08def7a7-4c1c-e146-962b-120001dad195	ZAKUP I DOSTAWA APARATU USG WSZECHSTRONNEGO W TYM DOPPLER Z FUNKCJAMI KARDIO I NACZYNIOWYMI Z FUNKCJĄ DO BADANIA JAMY BRZUSZNEJ ORAZ APARATU USG PRZENOŚNEGO DLA WSPL SP ZOZ W KOSZALINIE – 2 	Wojskowa Specjalistyczna Przychodnia Lekarska Samodzielny Publiczny Zakład Opieki Zdrowotnej w Koszalinie	2026-08-19T08:00:00+00:00			LOW			batch-071.json
714	PL-BZP:08def788-86c3-8c2e-962b-120001071f50	Przebudowa drogi gminnej Nr 117251R w miejscowości Nadolany na działkach 587/3, 603 i w miejscowości Nowotaniec na działce 504 w km 0+036 do 0+635.	Gmina Bukowsko	2026-08-26T07:00:00+00:00			LOW			batch-071.json
715	PL-BZP:08def6e6-9295-e18d-962b-120001b3f755	„Budowa i modernizacja ulic na ciechanowskim Podzamczu .”, Budowa i przebudowa drogi gminnej ulicy Księcia Janusza Mazowieckiego w Ciechanowie	GMINA MIEJSKA CIECHANÓW	2026-08-25T08:00:00+00:00			LOW			batch-071.json
716	PL-BZP:08def77f-d7f1-16ca-962b-1200011b95aa	Dostawa mleka i przetworów mleczarskich do Ośrodka Szkoleń Specjalistycznych Straży Granicznej	OŚRODEK SZKOLEŃ SPECJALISTYCZNYCH STRAŻY GRANICZNEJ W LUBANIU	2026-08-19T08:00:00+00:00			LOW			batch-071.json
717	PL-BZP:08def6a6-492c-15a1-962b-12000126816b	Remont pustostanów lokali mieszkalnych część nr 1: Koszykowa 20 m 16, część nr 2: Al. Ujazdowskie 20 m 18, część nr 3: Koszykowa 3 m 172	Zakład Gospodarowania Nieruchomościami w Dzielnicy Śródmieście m.st. Warszawy	2026-08-25T08:00:00+00:00			LOW			batch-071.json
